DATE	PET	P	T	Q
01/01/1990	3.117966667	0.400666667	8.425333333	9.468133333
02/01/1990	2.944133333	2.107666667	5.757333333	7.715333333
03/01/1990	2.750433333	2.063	8.717	6.82552
04/01/1990	2.938	0.233666667	10.81966667	5.91156
05/01/1990	2.924933333	26.91166667	13.15866667	5.219066667
06/01/1990	2.662	12.67733333	17.34666667	4.792066667
07/01/1990	3.431566667	3.916333333	17.52533333	4.533533333
08/01/1990	2.709933333	17.62133333	15.573	4.2088
09/01/1990	3.4839	6.389666667	13.877	3.813706667
10/01/1990	5.002566667	0.232666667	15.914	3.515066667
11/01/1990	5.581933333	-0.258	14.22233333	3.520906667
12/01/1990	6.3037	18.05966667	12.41333333	3.786573333
13/01/1990	6.534	48.52	14.35666667	5.3564
14/01/1990	6.561766667	23.684	16.39433333	7.07264
15/01/1990	5.6836	6.311	17.02633333	8.591506667
16/01/1990	5.416733333	0.194666667	16.11666667	10.42706667
17/01/1990	4.526333333	14.021	16.28633333	12.00922667
18/01/1990	6.236033333	9.094666667	18.744	11.83026667
19/01/1990	6.3196	6.126333333	19.474	11.20904
20/01/1990	6.913833333	-0.255	19.307	10.66678667
21/01/1990	5.6412	2.026666667	19.113	9.211973333
22/01/1990	5.4065	4.813666667	20.97633333	7.753746667
23/01/1990	6.963533333	1.107	18.98333333	6.772826667
24/01/1990	4.3628	6.735	16.14733333	6.246773333
25/01/1990	3.452766667	8.218	14.45333333	6.024866667
26/01/1990	4.6768	1.953	16.97533333	6.100453333
27/01/1990	4.1266	-0.042	18.64866667	6.14952
28/01/1990	4.101766667	1.143666667	20.588	6.164173333
29/01/1990	5.513233333	0.263666667	17.135	6.0144
30/01/1990	6.103533333	0.088	13.59766667	5.654573333
31/01/1990	3.190533333	-0.053666667	15.18833333	5.2042
01/02/1990	4.9171	-0.192	16.50266667	4.728613333
02/02/1990	4.900533333	0.159666667	16.71233333	4.246173333
03/02/1990	3.1255	0.299	12.97033333	3.87596
04/02/1990	5.8968	3.239333333	13.37166667	3.524173333
05/02/1990	7.001933333	18.58666667	19.963	3.158213333
06/02/1990	7.052366667	1.619666667	18.88366667	2.9104
07/02/1990	6.564633333	1.280333333	19.533	2.843973333
08/02/1990	6.279733333	7.465666667	18.77933333	2.79956
09/02/1990	3.448366667	18.68266667	19.901	2.665026667
10/02/1990	3.935866667	0.126333333	17.64033333	2.69108
11/02/1990	3.7683	-0.320333333	15.159	2.713106667
12/02/1990	4.145933333	0.230666667	14.298	2.879306667
13/02/1990	4.797366667	5.310666667	16.423	3.211506667
14/02/1990	6.127766667	33.64	17.79266667	3.607893333
15/02/1990	6.265666667	2.613	16.20466667	4.0192
16/02/1990	7.291033333	-0.163333333	15.20433333	4.347466667
17/02/1990	7.895666667	22.29733333	18.86	4.42984
18/02/1990	7.675333333	4.015666667	20.93166667	4.376733333
19/02/1990	7.407166667	8.253666667	22.41033333	4.49784
20/02/1990	6.919666667	1.010333333	23.67166667	5.356186667
21/02/1990	6.105966667	29.95733333	24.38866667	6.18052
22/02/1990	7.2655	13.851	23.32	6.83928
23/02/1990	8.264933333	3.919	24.47233333	7.712733333
24/02/1990	8.245166667	16.52433333	24.16766667	9.86716
25/02/1990	6.906966667	27.61733333	23.01333333	10.84241333
26/02/1990	7.086333333	19.96833333	23.67266667	12.01542667
27/02/1990	6.830766667	20.42166667	23.30033333	13.00130667
28/02/1990	6.7179	7.388333333	22.55433333	13.10785333
01/03/1990	6.169466667	1.119666667	18.937	11.37233333
02/03/1990	5.753866667	-0.195333333	18.924	9.696946667
03/03/1990	6.5268	-0.064	19.58566667	7.8052
04/03/1990	6.990333333	0.323	19.32466667	6.092306667
05/03/1990	6.690466667	-0.035333333	8.296333333	4.989653333
06/03/1990	4.850133333	0.281666667	13.14466667	4.155986667
07/03/1990	5.514366667	-0.322	16.16366667	3.5714
08/03/1990	5.292866667	-0.230333333	15.28833333	3.137306667
09/03/1990	6.1561	-0.282	13.856	2.835866667
10/03/1990	6.504166667	0.201	16.307	2.577266667
11/03/1990	5.417533333	0.186666667	20.07433333	2.458346667
12/03/1990	4.629133333	-0.117	20.272	2.3026
13/03/1990	4.644166667	3.818666667	18.93666667	2.120453333
14/03/1990	2.830566667	0.189	19.16733333	1.923373333
15/03/1990	5.311133333	1.529333333	19.46633333	1.738866667
16/03/1990	4.968933333	1.238333333	20.49766667	1.624106667
17/03/1990	4.592533333	0.627333333	18.33533333	1.555093333
18/03/1990	3.892066667	0.07	16.66433333	1.48528
19/03/1990	4.2595	-0.122333333	17.60266667	1.49092
20/03/1990	5.090033333	-0.002	17.37633333	1.420666667
21/03/1990	4.8201	0.2	19.09833333	1.39504
22/03/1990	5.611833333	-0.246	14.701	1.3142
23/03/1990	6.2566	-0.300666667	13.84933333	1.361093333
24/03/1990	5.841466667	5.863333333	15.13033333	1.44792
25/03/1990	5.112333333	21.84033333	17.78666667	1.6762
26/03/1990	5.2884	26.764	19.10133333	1.80832
27/03/1990	4.8103	6.364333333	13.108	2.091826667
28/03/1990	5.180033333	-0.034666667	14.126	2.141186667
29/03/1990	5.032	18.018	13.19433333	2.14088
30/03/1990	4.7292	9.075333333	16.003	2.100186667
31/03/1990	4.666433333	6.378666667	15.70766667	2.06356
01/04/1990	4.259066667	0.682333333	17.804	2.663453333
02/04/1990	4.9632	10.79633333	18.47766667	3.737253333
03/04/1990	5.722233333	41.14566667	16.892	4.429253333
04/04/1990	5.2664	1.262333333	18.65	4.82376
05/04/1990	4.853666667	0.034	17.58466667	5.162253333
06/04/1990	4.916366667	6.043666667	17.94033333	4.690853333
07/04/1990	4.2428	3.5	17.471	3.738293333
08/04/1990	3.4665	0.291666667	14.90366667	3.201253333
09/04/1990	3.5245	0.179333333	15.87466667	2.804
10/04/1990	3.393766667	-0.091333333	14.25966667	2.472053333
11/04/1990	3.0053	0.119666667	10.73866667	2.258133333
12/04/1990	3.7508	12.41766667	11.55066667	2.110053333
13/04/1990	4.038533333	3.328666667	10.84366667	1.93736
14/04/1990	3.989166667	1.811333333	12.89533333	1.933586667
15/04/1990	3.410866667	13.00566667	15.15	1.935346667
16/04/1990	3.153866667	11.63733333	14.254	1.8952
17/04/1990	2.534433333	-0.134333333	15.30533333	1.8252
18/04/1990	2.326666667	0.122333333	16.37033333	1.82236
19/04/1990	2.5298	0.164333333	14.33533333	1.703826667
20/04/1990	1.302433333	0.180666667	15.21366667	1.567746667
21/04/1990	1.693966667	-0.293	15.173	1.49604
22/04/1990	2.503933333	0.327666667	15.87666667	1.4254
23/04/1990	2.519566667	6.306333333	15.33266667	1.303813333
24/04/1990	2.2792	5.836333333	15.035	1.313213333
25/04/1990	2.439133333	4.364666667	15.60233333	1.344413333
26/04/1990	1.895033333	-0.136	14.98966667	1.242253333
27/04/1990	1.918733333	0.149	13.77566667	1.274186667
28/04/1990	1.7272	0.196666667	11.98333333	1.220813333
29/04/1990	2.1495	-0.274666667	9.719333333	1.16752
30/04/1990	2.2318	0.093666667	8.164666667	1.076133333
01/05/1990	2.1643	-0.170666667	11.02566667	1.12188
02/05/1990	2.7292	0.233333333	13.25433333	1.247426667
03/05/1990	1.899333333	14.60233333	11.883	1.285773333
04/05/1990	2.249933333	12.13633333	10.12233333	1.254346667
05/05/1990	2.141666667	0.057333333	9.778333333	1.26928
06/05/1990	1.386333333	-0.237333333	5.514666667	1.369613333
07/05/1990	1.6445	4.879333333	6.506	1.201933333
08/05/1990	1.4219	21.507	5.828333333	1.185053333
09/05/1990	2.245466667	0.609666667	7.536333333	1.208173333
10/05/1990	2.479866667	-0.125333333	7.890333333	1.142653333
